ID,Survey,Var Type,Timepoint,Question,Response
1,CSE,BS,0,1,4
1,CSE,BS,0,2,3
1,CSE,BS,0,3,5
1,CSE,BS,0,4,4
1,CSE,BS,0,5,5
1,CSE,BS,0,6,2
1,CSE,BS,0,7,4
1,CSE,BS,0,8,2
1,CSE,BS,0,9,4
1,CSE,BS,0,10,2
1,CSE,BS,0,11,5
1,CSE,BS,0,12,3
1,ProIdent,BS,0,1,5
1,ProIdent,BS,0,2,5
1,ProIdent,BS,0,3,5
1,Motivation,BS,0,1,5
1,Motivation,BS,0,2,5
1,Motivation,BS,0,3,5
1,Motivation,BS,0,4,5
1,LMX,BS,0,1,5
1,LMX,BS,0,2,4
1,LMX,BS,0,3,5
1,LMX,BS,0,4,4
1,LMX,BS,0,5,5
1,LMX,BS,0,6,5
1,LMX,BS,0,7,5
1,Volunteer,BS,0,1,3
1,Volunteer,BS,0,2,4
1,Volunteer,BS,0,3,4
1,Volunteer,BS,0,4,4
1,Volunteer,BS,0,5,4
1,PO Fit,BS,0,1,4
1,PO Fit,BS,0,2,4
1,PO Fit,BS,0,3,4
1,WFC,BS,0,1,4
1,WFC,BS,0,2,2
1,WFC,BS,0,3,2
1,WFC,BS,0,4,2
1,WFC,BS,0,5,2
1,WFC,BS,0,6,2
2,CSE,BS,0,1,4
2,CSE,BS,0,2,4
2,CSE,BS,0,3,5
2,CSE,BS,0,4,3
2,CSE,BS,0,5,5
2,CSE,BS,0,6,3
2,CSE,BS,0,7,5
2,CSE,BS,0,8,3
2,CSE,BS,0,9,5
2,CSE,BS,0,10,3
2,CSE,BS,0,11,4
2,CSE,BS,0,12,3
2,ProIdent,BS,0,1,6
2,ProIdent,BS,0,2,6
2,ProIdent,BS,0,3,6
2,Motivation,BS,0,1,6
2,Motivation,BS,0,2,6
2,Motivation,BS,0,3,6
2,Motivation,BS,0,4,6
2,LMX,BS,0,1,3
2,LMX,BS,0,2,3
2,LMX,BS,0,3,3
2,LMX,BS,0,4,3
2,LMX,BS,0,5,2
2,LMX,BS,0,6,1
2,LMX,BS,0,7,1
2,Volunteer,BS,0,1,2
2,Volunteer,BS,0,2,2
2,Volunteer,BS,0,3,2
2,Volunteer,BS,0,4,2
2,Volunteer,BS,0,5,2
